DAY ID MONTHLY_REVENUE VAT_PAYMENT EBT MONTHLY_WAGE_PAYMENT TOTAL_FINANCIAL_PAYMENT PHYSICAL_CAPITAL_DEPRECIATION_COST DIVIDEND_PAYMENT CAPITAL_TAX_PAYMENT NET_EARNINGS
 200 5 23.085164 42.717426 16.997706 50.000000 1.158954 34.722222 67.990823 1.699771 15.297935
 200 6 0.000000 3.687016 -71.133111 50.000000 1.158954 34.722222 -0.000000 0.000000 -71.133111
 200 11 174.634581 83.432854 3.570048 280.000000 1.158951 34.722222 14.280193 0.357005 3.213043
 200 12 88.238921 83.432855 3.570048 280.000000 1.158954 34.722222 14.280193 0.357005 3.213044
 200 4 0.000000 13.451445 -83.073432 100.000000 2.156990 34.722222 0.000000 0.000000 -83.073432
 200 3 29.208375 77.680680 1.051754 270.000000 0.741728 34.722222 4.207016 0.105175 0.946579
 220 17 0.000000 16.814074 4.178727 10.000000 1.640441 34.722222 16.714908 0.417873 3.760854
 220 18 0.000000 0.000000 -44.722222 10.000000 0.000000 34.722222 -0.000000 0.000000 -44.722222
 220 9 9.533160 41.574954 21.912332 10.000000 12.015938 34.722222 87.649326 2.191233 19.721098
 220 10 18.323680 23.551651 12.158471 10.000000 13.495601 34.722222 23.830308 1.215847 10.942624
 220 2 29.145273 5.813934 -81.466485 70.000000 0.000000 34.722222 -0.000000 0.000000 -81.466485
 220 1 412.013715 78.736546 1.943128 270.000000 0.508322 34.722222 7.772513 0.194313 1.748816
 220 15 223.548636 50.827203 38.886158 100.000000 17.840129 34.722222 11.860301 3.888616 34.997543
 220 16 123.319325 1.719149 -44.944253 10.000000 7.098627 34.722222 0.000000 0.000000 -44.944253
 220 8 31.354911 13.516589 -4.666156 20.000000 4.010290 34.722222 0.000000 0.000000 -4.666156
 220 7 84.302308 4.701794 -57.073996 40.000000 1.158951 34.722222 0.000000 0.000000 -57.073996
 220 14 360.182307 83.482269 3.609581 280.000000 1.158951 34.722222 14.438323 0.360958 3.248623
 220 13 273.053199 83.482269 3.609581 280.000000 1.158952 34.722222 14.438323 0.360958 3.248623
 220 6 0.000000 0.735743 -82.938206 50.000000 1.158954 34.722222 -0.000000 0.000000 -82.938206
 220 5 0.000000 26.918909 4.358892 50.000000 1.158954 34.722222 17.435568 0.435889 3.923003
 220 12 123.427207 83.482270 3.609581 280.000000 1.158954 34.722222 14.438323 0.360958 3.248623
 220 11 135.957359 83.482269 3.609581 280.000000 1.158951 34.722222 14.438323 0.360958 3.248623
 220 3 73.850856 62.281391 -56.338388 270.000000 0.741728 34.722222 -0.000000 0.000000 -56.338388
 220 4 9.138689 10.691028 -45.813452 50.000000 3.855343 34.722222 0.000000 0.000000 -45.813452
 240 18 0.000000 0.000000 -44.722222 10.000000 0.000000 34.722222 -0.000000 0.000000 -44.722222
 240 17 0.000000 3.587495 -32.012682 10.000000 1.640441 34.722222 -0.000000 0.000000 -32.012682
 240 10 0.000000 3.664736 -43.558880 10.000000 13.495601 34.722222 0.000000 0.000000 -43.558880
 240 9 0.000000 1.906632 -49.111633 10.000000 12.015938 34.722222 -0.000000 0.000000 -49.111633
 240 1 403.483283 82.583028 5.020314 270.000000 0.508322 34.722222 20.081256 0.502031 4.518283
 240 2 118.533475 5.829055 -71.406004 60.000000 0.000000 34.722222 -0.000000 0.000000 -71.406004
 240 15 155.617763 45.671347 12.024607 70.000000 17.840129 34.722222 48.098430 1.202461 10.822147
 240 16 34.551538 28.196705 12.193194 10.000000 7.098627 34.722222 48.772777 1.219319 10.973875
 240 8 9.256641 10.283951 -17.596707 20.000000 4.010290 34.722222 -0.000000 0.000000 -17.596707
 240 7 91.646576 25.558550 9.270605 20.000000 1.158951 34.722222 37.082422 0.927061 8.343545
 240 13 240.989321 83.507018 3.629380 280.000000 1.158952 34.722222 14.517519 0.362938 3.266442
 240 14 329.498863 83.507018 3.629380 280.000000 1.158951 34.722222 14.517519 0.362938 3.266442
 240 6 0.000000 1.860201 -68.440373 40.000000 1.158954 34.722222 0.000000 0.000000 -68.440373
 240 5 0.000000 6.579779 -59.562062 50.000000 1.158954 34.722222 -0.000000 0.000000 -59.562062
 240 11 132.075436 83.507018 3.629380 280.000000 1.158951 34.722222 14.517519 0.362938 3.266442
 240 12 58.970955 83.507019 3.629380 280.000000 1.158954 34.722222 14.517519 0.362938 3.266442
 240 4 18.967757 29.692809 26.590544 30.000000 4.616691 34.722222 22.841778 2.659054 23.931490
 240 3 79.023374 78.128300 9.409850 230.000000 0.741728 34.722222 37.639399 0.940985 8.468865
 260 18 0.000000 0.000000 -44.722222 10.000000 0.000000 34.722222 -0.000000 0.000000 -44.722222
 260 17 0.000000 11.584922 -0.022973 10.000000 1.640441 34.722222 -0.000000 0.000000 -0.022973
 260 9 0.000000 0.000000 -56.738160 10.000000 12.015938 34.722222 -0.000000 0.000000 -56.738160
 260 10 6.063824 0.000000 -58.217823 10.000000 13.495601 34.722222 0.000000 0.000000 -58.217823
 260 2 34.938767 24.893241 6.970148 30.000000 0.000000 34.722222 27.880594 0.697015 6.273134
 260 1 381.011855 80.696657 3.511217 270.000000 0.508322 34.722222 14.044866 0.351122 3.160095
 260 15 159.956300 34.646833 7.204997 50.000000 17.840129 34.722222 28.819986 0.720500 6.484497
 260 16 0.000000 8.826462 -46.515003 40.000000 7.098627 34.722222 -0.000000 0.000000 -46.515003
 260 7 0.000000 24.648064 8.542217 20.000000 1.158951 34.722222 34.168866 0.854222 7.687995
 260 8 17.507288 2.301176 -39.527807 10.000000 4.010290 34.722222 0.000000 0.000000 -39.527807
 260 14 382.657481 83.519413 3.639296 280.000000 1.158951 34.722222 14.557183 0.363930 3.275366
 260 13 291.399732 83.519413 3.639296 280.000000 1.158952 34.722222 14.557183 0.363930 3.275366
 260 6 0.000000 0.000000 -55.881176 20.000000 1.158954 34.722222 0.000000 0.000000 -55.881176
 260 5 31.075397 2.674374 -75.183681 50.000000 1.158954 34.722222 -0.000000 0.000000 -75.183681
 260 12 90.017570 71.256532 -30.855051 280.000000 1.158954 34.722222 -0.000000 0.000000 -30.855051
 260 11 181.566510 83.519413 3.639296 280.000000 1.158951 34.722222 14.557183 0.363930 3.275366
